Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-15,2021,6,15,,,M,,M,,M,,M,,M,2.6,,0,,2.6,,,,20,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-16,2021,6,16,,20.9,,11.9,,16.4,,1.6,,0,,0,,0,,0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-17,2021,6,17,,23.2,,10.1,,16.7,,1.3,,0,,0,,0,,0,,,,19,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-18,2021,6,18,,19.2,,10,,14.6,,3.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-19,2021,6,19,,20.8,,12.5,,16.7,,1.3,,0,,0,,0,,0,,,,21,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-20,2021,6,20,,,M,,M,,M,,M,,M,0,,0,,0,,,,31,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-21,2021,6,21,,23.8,,15.1,,19.5,,0,,1.5,,0,,0,,0,,,,29,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-22,2021,6,22,,22.9,,14.8,,18.9,,0,,0.9,,0,,0,,0,,,,19,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-23,2021,6,23,,22.1,,13.3,,17.7,,0.3,,0,,0,,0,,0,,,,19,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-24,2021,6,24,,23.6,,14.3,,19,,0,,1,,0,,0,,0,,,,29,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-25,2021,6,25,,25.6,,18,,21.8,,0,,3.8,,0,,0,,0,,,,30,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-26,2021,6,26,,32.3,,17.5,,24.9,,0,,6.9,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-27,2021,6,27,,31.1,,19.4,,25.3,,0,,7.3,,0,,0,,0,,,,29,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-28,2021,6,28,,31.7,,20.3,,26,,0,,8,,0,,0,,0,,,,30,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-29,2021,6,29,,32.4,,20.4,,26.4,,0,,8.4,,0,,0,,0,,,,10,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-06-30,2021,6,30,,24.2,,17.7,,21,,0,,3,,0,,0,,0,,,,11,,42,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-01,2021,7,1,,23.6,,17.6,,20.6,,0,,2.6,,0,,0,,0,,,,11,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-02,2021,7,2,,22.6,,16.6,,19.6,,0,,1.6,,0,,0,,0,,,,30,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-03,2021,7,3,,22.6,,16.6,,19.6,,0,,1.6,,0,,0,,0,,,,29,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-04,2021,7,4,,24.5,,16.2,,20.4,,0,,2.4,,0,,0,,0,,,,29,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-05,2021,7,5,,24,,15.5,,19.8,,0,,1.8,,0,,0,,0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-06,2021,7,6,,22.7,,13.5,,18.1,,0,,0.1,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-07,2021,7,7,,21.9,,14.8,,18.4,,0,,0.4,,0,,0,,0,,,,12,,42,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-08,2021,7,8,,21.8,,14.1,,18,,0,,0,,0,,0,,0,,,,19,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-09,2021,7,9,,24,,16.2,,20.1,,0,,2.1,,0,,0,,0,,,,20,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-10,2021,7,10,,25.2,,13.9,,19.6,,0,,1.6,,0,,0,,0,,,,21,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-11,2021,7,11,,23.4,,13.5,,18.5,,0,,0.5,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-12,2021,7,12,,23.3,,14,,18.7,,0,,0.7,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-13,2021,7,13,,24.7,,13.8,,19.3,,0,,1.3,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-14,2021,7,14,,24.7,,13.6,,19.2,,0,,1.2,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-15,2021,7,15,,21.5,,12.8,,17.2,,0.8,,0,,0,,0,,0,,,,13,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-16,2021,7,16,,21.6,,12.7,,17.2,,0.8,,0,,0,,0,,0,,,,13,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-17,2021,7,17,,24.3,,14.8,,19.6,,0,,1.6,,0,,0,,0,,,,20,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-18,2021,7,18,,23.1,,12.8,,18,,0,,0,,0,,0,,0,,,,19,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-19,2021,7,19,,26.7,,13.9,,20.3,,0,,2.3,,0,,0,,0,,,,16,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-20,2021,7,20,,23.8,,14.9,,19.4,,0,,1.4,,0,,0,,0,,,,15,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-21,2021,7,21,,21.9,,13.2,,17.6,,0.4,,0,,0,,0,,0,,,,21,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-22,2021,7,22,,21.7,,12.8,,17.3,,0.7,,0,,0,,0,,0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-23,2021,7,23,,24.3,,15.4,,19.9,,0,,1.9,,0,,0,,0,,,,19,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-24,2021,7,24,,25.1,,14.3,,19.7,,0,,1.7,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-25,2021,7,25,,25.1,,14.7,,19.9,,0,,1.9,,0,,0,,0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-26,2021,7,26,,25.8,,13.6,,19.7,,0,,1.7,,0,,0,,0,,,,20,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-27,2021,7,27,,24.4,,14.5,,19.5,,0,,1.5,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-28,2021,7,28,,26.5,,14.2,,20.4,,0,,2.4,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-29,2021,7,29,,25.8,,15.5,,20.7,,0,,2.7,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-30,2021,7,30,,28.1,,15.2,,21.7,,0,,3.7,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-07-31,2021,7,31,,26.1,,17.6,,21.9,,0,,3.9,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-01,2021,8,1,,26.2,,17.7,,22,,0,,4,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-02,2021,8,2,,23.4,,15.6,,19.5,,0,,1.5,,0,,0,,0,,,,21,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-03,2021,8,3,,25.2,,15.9,,20.6,,0,,2.6,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-04,2021,8,4,,25.2,,15.3,,20.3,,0,,2.3,,0,,0,,0,,,,11,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-05,2021,8,5,,28.9,,17,,23,,0,,5,,0,T,0,,0,T,,,20,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-06,2021,8,6,,23.6,,17.7,,20.7,,0,,2.7,,0,T,0,,0,T,,,29,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-07,2021,8,7,,22.2,,14,,18.1,,0,,0.1,,22.1,,0,,22.1,,,,28,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-08,2021,8,8,,22.3,,15.2,,18.8,,0,,0.8,,0.6,,0,,0.6,,,,28,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-09,2021,8,9,,23,,14.9,,19,,0,,1,,0,,0,,0,,,,22,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-10,2021,8,10,,24.1,,15.4,,19.8,,0,,1.8,,0,,0,,0,,,,23,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-11,2021,8,11,,25.7,,15.8,,20.8,,0,,2.8,,0,,0,,0,,,,29,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-12,2021,8,12,,27.6,,18.8,,23.2,,0,,5.2,,0,,0,,0,,,,29,,42,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-13,2021,8,13,,28.9,,16.6,,22.8,,0,,4.8,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-14,2021,8,14,,28.1,,16.7,,22.4,,0,,4.4,,0,,0,,0,,,,11,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-15,2021,8,15,,24.9,,15.8,,20.4,,0,,2.4,,0,,0,,0,,,,13,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-16,2021,8,16,,21.2,,16.2,,18.7,,0,,0.7,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-17,2021,8,17,,21.1,,14.5,,17.8,,0.2,,0,,0.2,,0,,0.2,,,,29,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-18,2021,8,18,,20.8,,13,,16.9,,1.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-19,2021,8,19,,22.7,,14.1,,18.4,,0,,0.4,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-20,2021,8,20,,18.8,,13.7,,16.3,,1.7,,0,,1.6,,0,,1.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-21,2021,8,21,,21.9,,14.8,,18.4,,0,,0.4,,0,,0,,0,,,,20,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-22,2021,8,22,,22.6,,14.7,,18.7,,0,,0.7,,0,T,0,,0,T,,,28,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-23,2021,8,23,,20.3,,12.8,,16.6,,1.4,,0,,0.3,,0,,0.3,,,,20,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-24,2021,8,24,,22.2,,9.4,,15.8,,2.2,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-25,2021,8,25,,25.3,,11.2,,18.3,,0,,0.3,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-26,2021,8,26,,17.5,,15.1,,16.3,,1.7,,0,,3.1,,0,,3.1,,,,9,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-27,2021,8,27,,20.1,,14.2,,17.2,,0.8,,0,,7,,0,,7,,,,19,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-28,2021,8,28,,21,,9.9,,15.5,,2.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-29,2021,8,29,,21.2,,12.5,,16.9,,1.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-30,2021,8,30,,18.3,,13.3,,15.8,,2.2,,0,,0,T,0,,0,T,,,11,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-08-31,2021,8,31,,20.2,,11.2,,15.7,,2.3,,0,,1.8,,0,,1.8,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-01,2021,9,1,,18.8,,8.8,,13.8,,4.2,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-02,2021,9,2,,20.9,,10.5,,15.7,,2.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-03,2021,9,3,,23.9,,11.4,,17.7,,0.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-04,2021,9,4,,19.8,,12.4,,16.1,,1.9,,0,,13.5,,0,,13.5,,,,5,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-05,2021,9,5,,19.4,,14.9,,17.2,,0.8,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-06,2021,9,6,,21.4,,12.7,,17.1,,0.9,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-07,2021,9,7,,21.9,,12,,17,,1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-08,2021,9,8,,24.3,,14.5,,19.4,,0,,1.4,,0.8,,0,,0.8,,,,10,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-09,2021,9,9,,26,,14.6,,20.3,,0,,2.3,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-10,2021,9,10,,23.5,,15,,19.3,,0,,1.3,,0,,0,,0,,,,11,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-11,2021,9,11,,17.3,,14.4,,15.9,,2.1,,0,,5.3,,0,,5.3,,,,11,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-12,2021,9,12,,18.1,,12.9,,15.5,,2.5,,0,,0.7,,0,,0.7,,,,28,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-13,2021,9,13,,18.1,,10.5,,14.3,,3.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-14,2021,9,14,,14.5,,12.2,,13.4,,4.6,,0,,11.6,,0,,11.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-15,2021,9,15,,17.2,,11.9,,14.6,,3.4,,0,,0,T,0,,0,T,,,28,,62,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-16,2021,9,16,,15.8,,6,,10.9,,7.1,,0,,0,,0,,0,,,,9,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-17,2021,9,17,,14.2,,10.9,,12.6,,5.4,,0,,50.9,,0,,50.9,,,,10,,59,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-18,2021,9,18,,18.7,,11.9,,15.3,,2.7,,0,,8.6,,0,,8.6,,,,15,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-19,2021,9,19,,15.6,,11,,13.3,,4.7,,0,,2.2,,0,,2.2,,,,10,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-20,2021,9,20,,17.1,,10.3,,13.7,,4.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-21,2021,9,21,,17.9,,8.2,,13.1,,4.9,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-22,2021,9,22,,17.9,,12.3,,15.1,,2.9,,0,,1.5,,0,,1.5,,,,29,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-23,2021,9,23,,17.1,,11,,14.1,,3.9,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-24,2021,9,24,,18.3,,8.6,,13.5,,4.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-25,2021,9,25,,22.3,,10.2,,16.3,,1.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-26,2021,9,26,,15.4,,12.2,,13.8,,4.2,,0,,21.4,,0,,21.4,,,,12,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-27,2021,9,27,,16.9,,11.5,,14.2,,3.8,,0,,6.3,,0,,6.3,,,,15,,45,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-28,2021,9,28,,17.1,,11.5,,14.3,,3.7,,0,,6.8,,0,,6.8,,,,20,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-29,2021,9,29,,12.8,,10.4,,11.6,,6.4,,0,,11.3,,0,,11.3,,,,7,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-09-30,2021,9,30,,15.4,,11,,13.2,,4.8,,0,,14.1,,0,,14.1,,,,15,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-01,2021,10,1,,14.8,,7.8,,11.3,,6.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-02,2021,10,2,,14.2,,8.8,,11.5,,6.5,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-03,2021,10,3,,14.3,,9.9,,12.1,,5.9,,0,,0.4,,0,,0.4,,,,29,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-04,2021,10,4,,14.4,,8.5,,11.5,,6.5,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-05,2021,10,5,,14.2,,7.2,,10.7,,7.3,,0,,4.5,,0,,4.5,,,,14,,67,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-06,2021,10,6,,12.9,,5.2,,9.1,,8.9,,0,,0,T,0,,0,T,,,7,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-07,2021,10,7,,13,,5.2,,9.1,,8.9,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-08,2021,10,8,,12.5,,5.6,,9.1,,8.9,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-09,2021,10,9,,11.8,,5.4,,8.6,,9.4,,0,,11.6,,0,,11.6,,,,16,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-10,2021,10,10,,12.8,,8.6,,10.7,,7.3,,0,,0,,0,,0,,,,28,,59,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-11,2021,10,11,,11.2,,3.4,,7.3,,10.7,,0,,0,,0,,0,,,,29,,45,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-12,2021,10,12,,9.3,,2.9,,6.1,,11.9,,0,,1.8,,0,,1.8,,,,9,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-13,2021,10,13,,9.9,,4.6,,7.3,,10.7,,0,,2.7,,0,,2.7,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-14,2021,10,14,,10,,7.2,,8.6,,9.4,,0,,1.1,,0,,1.1,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-15,2021,10,15,,11.9,,9.6,,10.8,,7.2,,0,,30.1,,0,,30.1,,,,10,,42,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-16,2021,10,16,,14.4,,11,,12.7,,5.3,,0,,43.3,,0,,43.3,,,,10,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-17,2021,10,17,,12.9,,9,,11,,7,,0,,7.2,,0,,7.2,,,,30,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-18,2021,10,18,,12.5,,6.1,,9.3,,8.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-19,2021,10,19,,14.1,,2.4,,8.3,,9.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-20,2021,10,20,,13.4,,6.8,,10.1,,7.9,,0,,7.7,,0,,7.7,,,,15,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-21,2021,10,21,,17.9,,10.2,,14.1,,3.9,,0,,3.8,,0,,3.8,,,,7,,57,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-22,2021,10,22,,13.1,,8.1,,10.6,,7.4,,0,,4.8,,0,,4.8,,,,12,,55,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-23,2021,10,23,,11.6,,9.1,,10.4,,7.6,,0,,0.6,,0,,0.6,,,,10,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-24,2021,10,24,,13.1,,9.3,,11.2,,6.8,,0,,3.5,,0,,3.5,,,,12,,58,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-25,2021,10,25,,13.1,,10.8,,12,,6,,0,,1.9,,0,,1.9,,,,11,,68,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-26,2021,10,26,,12,,8.7,,10.4,,7.6,,0,,4.4,,0,,4.4,,,,10,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-27,2021,10,27,,13.3,,7.4,,10.4,,7.6,,0,,0.3,,0,,0.3,,,,18,,42,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-28,2021,10,28,,9.7,,7.7,,8.7,,9.3,,0,,18.7,,0,,18.7,,,,28,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-29,2021,10,29,,10.3,,4.4,,7.4,,10.6,,0,,0,,0,,0,,,,28,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-30,2021,10,30,,9.4,,0,,4.7,,13.3,,0,,0,,0,,0,,,,29,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-10-31,2021,10,31,,9.7,,-0.7,,4.5,,13.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-01,2021,11,1,,9.8,,-0.5,,4.7,,13.3,,0,,6.6,,0,,6.6,,,,4,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-02,2021,11,2,,11.3,,5.2,,8.3,,9.7,,0,,10.8,,0,,10.8,,,,7,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-03,2021,11,3,,12.8,,9.7,,11.3,,6.7,,0,,10.7,,0,,10.7,,,,7,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-04,2021,11,4,,13.8,,7.9,,10.9,,7.1,,0,,15.7,,0,,15.7,,,,21,,51,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-05,2021,11,5,,11.2,,7.1,,9.2,,8.8,,0,,4.9,,0,,4.9,,,,19,,58,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-06,2021,11,6,,8.6,,5.1,,6.9,,11.1,,0,,3.8,,0,,3.8,,,,16,,55,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-07,2021,11,7,,8.8,,3.9,,6.4,,11.6,,0,,6.2,,0,,6.2,,,,14,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-08,2021,11,8,,10.5,,4.2,,7.4,,10.6,,0,,0.6,,0,,0.6,,,,9,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-09,2021,11,9,,12.1,,6.4,,9.3,,8.7,,0,,15.2,,0,,15.2,,,,12,,85,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-10,2021,11,10,,9.1,,4,,6.6,,11.4,,0,,0.3,,0,,0.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-11,2021,11,11,,9.7,,6.3,,8,,10,,0,,13.3,,0,,13.3,,,,9,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-12,2021,11,12,,13,,6.8,,9.9,,8.1,,0,,1,,0,,1,,,,12,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-13,2021,11,13,,9,,3.9,,6.5,,11.5,,0,,19.9,,0,,19.9,,,,8,,42,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-14,2021,11,14,,12.4,,5.6,,9,,9,,0,,52.5,,0,,52.5,,,,15,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-15,2021,11,15,,12.4,,5.3,,8.9,,9.1,,0,,47.8,,0,,47.8,,,,28,,88,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-16,2021,11,16,,7.8,,1.1,,4.5,,13.5,,0,,0,,0,,0,,,,28,,47,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-17,2021,11,17,,6.5,,-1.5,,2.5,,15.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-18,2021,11,18,,,M,,M,,M,,M,,M,6.6,,0,,6.6,,,,2,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-19,2021,11,19,,7.5,,2.2,,4.9,,13.1,,0,,0,T,0,,0,T,,,30,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-20,2021,11,20,,7.3,,2.7,,5,,13,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-21,2021,11,21,,9.5,,1.9,,5.7,,12.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-22,2021,11,22,,8.4,,-0.1,,4.2,,13.8,,0,,0,T,0,,0,T,,,13,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-23,2021,11,23,,8.6,,4.9,,6.8,,11.2,,0,,0,T,0,,0,T,,,29,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-24,2021,11,24,,7.5,,2.5,,5,,13,,0,,2,,0,,2,,,,11,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-25,2021,11,25,,7.4,,5.1,,6.3,,11.7,,0,,27.3,,0,,27.3,,,,7,,45,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-26,2021,11,26,,10.9,,5.9,,8.4,,9.6,,0,,2.8,,0,,2.8,,,,10,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-27,2021,11,27,,11.8,,6.5,,9.2,,8.8,,0,,20.2,,0,,20.2,,,,8,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-28,2021,11,28,,12.3,,8.8,,10.6,,7.4,,0,,24.6,,0,,24.6,,,,15,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-29,2021,11,29,,12.8,,9.7,,11.3,,6.7,,0,,3.1,,0,,3.1,,,,15,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2021-11-30,2021,11,30,,11.1,,9.4,,10.3,,7.7,,0,,16.5,,0,,16.5,,,,13,,43,
